%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
138.0, 14620.633676127634, 54884.99908268441, -52445.55204457665, -48990.35233144192, -49975.1478403983, -32240.111498845996, -43140.230255154405, -57638.19755771131, -44095.96849631888, -42754.37209062244, -94473.93947529072, -25603.878570065328, -50609.02096140635, -45468.00797796345, -61019.63651414353, -90294.6102970374, -0.050375, 1.0081875, 0.0435, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321871111E9, 0.0, 2024-09-27 16:05:32.187
140.0, 14610.08365274473, 54853.326660791245, -52495.93287657892, -48992.565154143, -49952.77374419854, -32250.303894317618, -43133.30121437326, -57641.32680193506, -44102.159929533, -42755.377919122926, -94551.34356633945, -25607.343090455903, -50601.62253399164, -45467.00214946296, -61089.016328932805, -90310.10005594493, -0.056, 1.006, 0.048, 192.0, 127.0, 32.0, 15.5, 56.0, 0.5, 64.0, 0.0, 0.0, 0.0, 1.7274711321871233E9, 0.0, 2024-09-27 16:05:32.187
142.0, 14641.71137114899, 54902.03111195935, -52419.53461403068, -48983.75856682761, -49946.42584877323, -32232.37779526446, -43121.92417644551, -57621.098473203005, -44105.28917375674, -42754.59560806699, -94478.47687941515, -25602.11278225336, -50586.266885550845, -45476.747510045476, -61030.164185781985, -90292.95626794771, -0.056, 1.006, 0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727471132187137E9, 0.0, 2024-09-27 16:05:32.187
144.0, 14644.930022350554, 54871.006890655386, -52489.00383579777, -48983.378587171865, -49947.05169761797, -32238.412766267393, -43117.18560662098, -57619.35503713549, -44103.27751675576, -42733.137933389895, -94537.50783652162, -25594.088505993906, -50615.68178125403, -45435.59794850325, -61052.22535755937, -90292.88921271435, -0.056, 1.006, 0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727471132187153E9, 0.0, 2024-09-27 16:05:32.187
146.0, 14641.823129871265, 54926.77449307138, -52408.35874180302, -48983.803270316515, -49953.46664827665, -32241.117327346485, -43132.09422017267, -57628.988638995725, -44088.57006890417, -42733.24969211217, -94463.56826586346, -25587.11476172385, -50577.54970521328, -45447.511428297934, -61022.78811011173, -90274.58313400544, -0.056, 1.006, 0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321871688E9, 0.0, 2024-09-27 16:05:32.187
148.0, 14700.071775921795, 54916.380931899665, -52498.995065569296, -48999.06951177949, -49957.06527913395, -32257.881135687967, -43133.90471147355, -57635.82827279905, -44091.81107185019, -42729.159322876854, -94548.39313607135, -25617.580189416432, -50587.049196606786, -45440.023593905404, -61068.810351945205, -90314.43629436927, -0.056, 1.006, 0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321871812E9, 0.0, 2024-09-27 16:05:32.187
150.0, 14611.447109156503, 54935.20110073103, -52415.46659653981, -48984.89850579483, -49927.091589819385, -32262.463243301303, -43114.95043217545, -57620.15969993588, -44082.93742930143, -42718.45283728276, -94497.69937964671, -25609.667671879255, -50580.813059903754, -45466.93509422959, -61070.75495371282, -90294.94557320424, -0.062, 1.012, 0.042, 192.0, 127.0, 8.0, 15.5, 80.0, 0.5, 40.0, 0.0, 0.0, 0.0, 1.7274711321871936E9, 0.0, 2024-09-27 16:05:32.187
152.0, 14603.735757319422, 54875.00785291289, -52514.44012098791, -48996.811985589506, -49937.21693005764, -32252.047330385132, -43119.10785664414, -57623.17718543735, -44114.49809247233, -42737.9882619367, -94539.74301096714, -25613.378061458836, -50616.173519632044, -45443.264596851426, -61099.231076148884, -90305.40618960932, -0.062, 1.012, 0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727471132187206E9, 0.0, 2024-09-27 16:05:32.187
154.0, 14641.912536849088, 54947.33809797026, -52418.08175064108, -49014.58162243148, -49906.2821157315, -32263.402016568427, -43116.671516498514, -57621.00906622518, -44088.03362703724, -42715.524758759115, -94491.97733306616, -25610.807610846474, -50587.49623149589, -45443.398707318156, -61131.305829442244, -90277.62297125137, -0.062, 1.012, 0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321872177E9, 0.0, 2024-09-27 16:05:32.187
156.0, 14591.039966468808, 54859.76396319437, -52517.3458477671, -49029.177311560794, -49946.20233132867, -32276.34367660805, -43132.4294963395, -57628.854528528995, -44106.809092379706, -42716.30706981505, -94547.65552850433, -25622.74344238561, -50602.24838283639, -45452.4288120781, -61122.54394561577, -90292.24101212515, -0.062, 1.012, 0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321872294E9, 0.0, 2024-09-27 16:05:32.187
